index,x,y,z,qx,qy,qz,qw
0,-0.000078,-0.000010,-1.088986,0.000000,0.000000,-0.000000,1.000000
1,21.447584,-0.000004,-2.653794,-0.000000,-0.000117,-0.000000,1.000000
2,38.689055,0.476049,-3.156176,-0.000000,0.000193,0.001078,0.999999
3,57.734347,1.148456,-5.472421,-0.000004,0.000201,0.018985,0.999820
4,79.601332,1.982443,-6.978101,-0.000003,0.000001,0.018990,0.999820
5,102.083090,4.871889,-7.881580,0.000000,-0.000013,0.020140,0.999797
6,121.453360,5.652571,-8.404481,-0.000041,0.002039,0.020140,0.999795
7,143.427138,6.536433,-9.379956,0.000000,-0.000012,0.020135,0.999797
8,162.695738,6.186456,-10.045725,0.000002,0.000215,-0.009082,0.999959
9,183.972914,4.396139,-11.181746,-0.000187,0.000799,-0.081402,0.996681
10,205.398726,0.875022,-13.072158,0.000028,0.000346,-0.081403,0.996681
11,227.462873,-4.882135,-14.610395,0.000003,0.000001,-0.322629,0.946525
12,245.137860,-17.664026,-17.752497,-0.000421,-0.001021,-0.381585,0.924333
13,256.653668,-29.125058,-20.296574,0.001351,0.003274,-0.381581,0.924329
14,271.247203,-48.718513,-23.848360,-0.000306,-0.000740,-0.382102,0.924120
15,278.454325,-65.996304,-26.964611,0.003017,-0.000069,-0.520399,0.853918
16,288.194345,-83.564145,-30.785717,0.000008,-0.000005,-0.513432,0.858130
17,301.044868,-101.472303,-35.110741,0.000101,0.000231,-0.400893,0.916125
18,316.540839,-115.362891,-40.442207,0.000000,0.000000,-0.280685,0.959800
19,331.732886,-125.081191,-47.202087,0.000005,0.000016,-0.280689,0.959799
20,350.763861,-134.144227,-53.694805,0.000031,0.000059,-0.124724,0.992191
21,371.434576,-139.407808,-60.306644,-0.000056,0.000028,-0.167023,0.985953
22,391.875524,-142.883182,-67.780144,-0.000001,-0.000016,-0.027991,0.999608
23,410.300328,-143.900150,-76.204926,-0.000044,0.000020,0.006293,0.999980
24,430.641698,-143.499151,-83.496864,-0.000005,0.000709,0.006157,0.999981
25,449.921270,-140.956076,-92.095840,0.000759,0.000005,0.006301,0.999980
26,469.957098,-138.352852,-99.301514,0.000026,0.000000,0.008730,0.999962
27,487.518835,-134.210275,-107.027824,-0.000027,0.000234,0.115601,0.993296
28,505.272467,-130.122828,-115.879745,-0.000049,0.000427,0.115068,0.993357
29,526.036414,-125.249675,-121.950455,0.000002,-0.000020,0.115068,0.993358
30,544.596411,-120.357106,-128.569992,-0.000170,0.001031,0.115236,0.993338
31,563.776954,-112.842756,-130.772125,0.000019,0.000002,0.224754,0.974416
32,584.268410,-103.065009,-131.694412,0.000687,0.000158,0.224753,0.974416
33,601.573830,-95.902939,-133.543961,0.000009,-0.000038,0.223023,0.974813
34,616.614724,-89.113862,-136.026337,0.000000,-0.000000,0.222438,0.974947
35,633.478738,-81.599352,-135.438995,-0.000044,0.000194,0.220727,0.975336
36,705.230143,-46.863379,-133.047296,0.000144,-0.000265,0.708966,0.705242
37,707.554852,-25.532349,-133.531174,-0.000611,0.000606,0.710143,0.704057
38,707.389875,-18.162669,-133.531174,0.000000,0.000000,0.708835,0.705374
39,703.865889,1.423756,-132.792419,-0.000039,0.000038,0.707307,0.706906
40,699.016342,23.150196,-132.802719,-0.001596,0.001259,0.785076,0.619396
41,693.156053,42.999895,-132.684250,-0.000165,0.000130,0.785587,0.618751
42,687.356310,64.602038,-132.966248,0.000337,0.000590,0.788186,0.615437
43,684.273182,86.285655,-132.197357,0.000000,-0.000000,0.787390,0.616455
44,686.735890,106.778628,-129.798340,-0.000000,0.000000,0.694712,0.719288
45,691.027151,127.823611,-128.041336,-0.000007,-0.000006,0.658471,0.752606
46,696.765373,148.997141,-125.753754,0.000027,0.000033,0.657986,0.753030
47,697.041984,148.960123,-125.375282,0.000105,0.000091,0.657989,0.753027
48,703.274346,169.080698,-122.816322,0.000000,0.000000,0.605181,0.796088
49,709.737360,189.806405,-118.921860,0.000000,0.000000,0.605276,0.796016
50,715.179195,209.483605,-114.680824,-0.000000,0.000000,0.605124,0.796131
51,720.262265,228.789696,-107.602486,0.000003,-0.000003,0.606092,0.795394
52,723.007993,247.765038,-99.246292,0.000684,-0.000705,0.699171,0.714954
53,725.016601,267.668312,-89.566193,0.000004,0.000004,0.704599,0.709606
54,726.961121,286.300697,-80.107391,0.000160,0.000158,0.704510,0.709694
55,728.200380,305.261635,-70.700821,-0.000000,0.000000,0.704167,0.710035
56,727.847415,325.274635,-61.753712,-0.000000,0.000000,0.722927,0.690924
57,724.932499,345.284401,-54.012482,-0.000684,-0.001055,0.838903,0.544279
58,720.840093,365.617226,-48.133404,0.000000,0.000000,0.837708,0.546118
59,712.759833,386.120706,-43.728870,0.000000,0.000000,0.837765,0.546031
60,702.581672,404.066690,-40.065125,-0.000000,0.000000,0.875732,0.482797
61,689.081673,420.242625,-37.979271,-0.002234,0.000962,0.918758,0.394813
62,672.911447,435.439861,-36.458981,0.000004,0.000002,0.919030,0.394187
63,657.102000,449.185833,-35.356285,-0.000010,0.000003,0.948817,0.315827
64,639.528209,462.163160,-34.784370,-0.000227,0.000083,0.958122,0.286359
65,621.605358,473.904830,-34.506252,-0.000021,0.000006,0.958265,0.285882
66,603.049573,486.054916,-33.963631,0.000007,-0.000002,0.958264,0.285885
67,585.058790,496.906480,-33.226471,-0.000000,-0.000000,0.958260,0.285899
68,566.814344,507.100573,-32.115929,-0.000952,0.000283,0.958537,0.284966
69,543.869936,520.721991,-32.414589,0.000001,-0.000000,0.958756,0.284231
70,566.814344,507.100573,-32.914589,-0.000952,0.000283,0.958537,0.284966
71,585.058790,496.906480,-34.726471,-0.000000,-0.000000,0.958260,0.285899
72,603.049573,486.054916,-35.463631,0.000007,-0.000002,0.958264,0.285885
73,621.605358,473.904830,-36.006252,-0.000021,0.000006,0.958265,0.285882
74,639.528209,462.163160,-36.284370,-0.000227,0.000083,0.958122,0.286359
75,657.102000,449.185833,-36.856285,-0.000010,0.000003,0.948817,0.315827
76,672.911447,435.439861,-37.958981,0.000004,0.000002,0.919030,0.394187
77,689.081673,420.242625,-39.479271,-0.002234,0.000962,0.918758,0.394813
78,702.581672,404.066690,-41.565125,-0.000000,0.000000,0.875732,0.482797
79,712.759833,386.120706,-45.228870,0.000000,0.000000,0.837765,0.546031
80,720.840093,365.617226,-49.633404,0.000000,0.000000,0.837708,0.546118
81,724.932499,345.284401,-55.512482,-0.000684,-0.001055,0.838903,0.544279
82,727.847415,325.274635,-63.253712,-0.000000,0.000000,0.722927,0.690924
83,728.200380,305.261635,-72.200821,-0.000000,0.000000,0.704167,0.710035
84,726.961121,286.300697,-81.607391,0.000160,0.000158,0.704510,0.709694
85,725.016601,267.668312,-91.066193,0.000004,0.000004,0.704599,0.709606
86,723.007993,247.765038,-100.746292,0.000684,-0.000705,0.699171,0.714954
87,720.262265,228.789696,-109.102486,0.000003,-0.000003,0.606092,0.795394
88,715.179195,209.483605,-116.180824,-0.000000,0.000000,0.605124,0.796131
89,709.737360,189.806405,-120.421860,0.000000,0.000000,0.605276,0.796016
90,703.274346,169.080698,-124.316322,0.000000,0.000000,0.605181,0.796088
91,697.041984,148.960123,-126.875282,0.000105,0.000091,0.657989,0.753027
92,696.765373,148.997141,-127.253754,0.000027,0.000033,0.657986,0.753030
93,691.027151,127.823611,-129.541336,-0.000007,-0.000006,0.658471,0.752606
94,686.735890,106.778628,-131.298340,-0.000000,0.000000,0.694712,0.719288
95,684.273182,86.285655,-133.697357,0.000000,-0.000000,0.787390,0.616455
96,687.356310,64.602038,-134.466248,0.000337,0.000590,0.788186,0.615437
97,693.156053,42.999895,-134.184250,-0.000165,0.000130,0.785587,0.618751
98,699.016342,23.150196,-134.302719,-0.001596,0.001259,0.785076,0.619396
99,703.865889,1.423756,-134.292419,-0.000039,0.000038,0.707307,0.706906
100,707.389875,-18.162669,-134.560730,0.000000,0.000000,0.708835,0.705374
101,708.481061,-25.853509,-134.018826,-0.000001,-0.000000,0.584292,0.811543
102,704.131145,-45.516772,-134.041351,0.000000,0.000000,0.592665,0.805449
